rollout/ep_rew_mean,rollout/ep_len_mean,time/iterations,time/total_timesteps,time/fps,time/time_elapsed,train/explained_variance,train/clip_range,train/entropy_loss,train/learning_rate,train/n_updates,train/clip_fraction,train/value_loss,train/approx_kl,train/loss,train/policy_gradient_loss
-43.26014285714285,256.85714285714283,1,2048,124,16,,,,,,,,,,
-36.758624999999995,255.25,2,4096,108,37,-0.2021803855895996,0.2,-1.1036824664101004,0.0003,10,0.112353515625,21.544050183147192,0.011141666,1.7287975549697876,-0.009621301654260606
-34.22639130434783,256.5217391304348,3,6144,110,55,0.7476582527160645,0.2,-1.0886234670877457,0.0003,20,0.086083984375,4.576683943346143,0.0075098686,0.9348487854003906,-0.007559912171564065
-32.43570967741936,259.61290322580646,4,8192,108,75,0.8993575572967529,0.2,-1.055302849970758,0.0003,30,0.1015625,2.125622689770535,0.011307862,1.1341954469680786,-0.006834552570944652
-30.987947368421057,263.1578947368421,5,10240,106,96,0.9300782084465027,0.2,-1.0195324186235666,0.0003,40,0.131201171875,1.7620072846766561,0.010026079,0.510848879814148,-0.010755234483804088
-29.814673913043475,266.7608695652174,6,12288,103,118,0.9696556329727173,0.2,-0.9927927320823073,0.0003,50,0.100634765625,0.8879870550706983,0.008019978,0.13558386266231537,-0.004796569647442084
-30.055018867924527,268.8490566037736,7,14336,102,140,0.9724588990211487,0.2,-0.973377158679068,0.0003,60,0.10908203125,0.5047308626817539,0.008087137,0.07908044755458832,-0.005980444434680976
-30.242733333333334,269.4,8,16384,101,160,0.9483069181442261,0.2,-0.9767497275024652,0.0003,70,0.098876953125,1.2941855834331364,0.007595145,0.24665087461471558,-0.003884553055104334
-29.613761194029852,271.17910447761193,9,18432,100,183,0.9607106447219849,0.2,-0.9314544670283794,0.0003,80,0.10126953125,0.9848328982712701,0.008350115,0.12471753358840942,-0.005855180414073402
-29.055675675675673,273.02702702702703,10,20480,99,205,0.9782750010490417,0.2,-0.993215941824019,0.0003,90,0.110107421875,0.3138075722730719,0.011477919,0.02671295776963234,-0.006494942669814918
-28.650716049382716,275.04938271604937,11,22528,98,228,0.949670672416687,0.2,-0.9893777759745717,0.0003,100,0.121533203125,0.9080503475153818,0.012388408,0.20517197251319885,-0.008456717316585127
-28.46649438202247,275.69662921348316,12,24576,96,254,0.9845817685127258,0.2,-0.9762181365862489,0.0003,110,0.130126953125,0.2551483657443896,0.022834802,-0.017378289252519608,-0.006085154507309199
-28.68360416666667,276.375,13,26624,95,280,0.9423105716705322,0.2,-1.0180435605347156,0.0003,120,0.102392578125,0.9227574557065964,0.009138792,0.04171258583664894,-0.003309731440822361
-28.816119999999998,278.32,14,28672,94,302,0.9523837566375732,0.2,-0.9714808201417326,0.0003,130,0.059033203125,0.724810230685398,0.0051212413,0.05442057177424431,-0.0006795620996854268
-27.701189999999997,281.49,15,30720,93,328,0.9575070738792419,0.2,-0.9178587693721056,0.0003,140,0.106591796875,0.5270186769776046,0.011818086,0.04624171182513237,-0.006774030932865572
-26.933060000000005,285.26,16,32768,92,353,0.9093322157859802,0.2,-0.9378764994442463,0.0003,150,0.151806640625,0.37421850690152497,0.018029619,0.1858900487422943,-0.00529715792144998
-26.60004,288.14,17,34816,91,382,0.9610371589660645,0.2,-0.9695870406925678,0.0003,160,0.160888671875,0.3786938591860235,0.01580026,0.10696759819984436,-0.007893041799979983
-26.262220000000003,290.52,18,36864,89,410,0.9828803539276123,0.2,-0.8949653832241893,0.0003,170,0.144140625,0.19925127769238316,0.010316895,0.038632459938526154,-0.0049571787480090276
